NOMES,DATA_INICIAL,CONSUMO_INICIAL,DATA_FINAL,CONSUMO_FINAL,LOCALIDADE
SAU01,19/02/2026,100.10GB,26/02/2026,143.86GB,PONTA GROSSA
SAU02,19/02/2026,589.13GB,26/02/2026,859.97GB,LONDRINA
SAU03,19/02/2026,1.12TB,26/02/2026,1.57TB,TAMARANA
SAU04,19/02/2026,721.11GB,26/02/2026,1001.07GB,SERTANOPOLIS
SAU05,19/02/2026,560.84GB,26/02/2026,813.70GB,CAMBIRA
SAU06,19/02/2026,910.77GB,26/02/2026,1.27TB,MARILANDIA DO SUL
SAU07,19/02/2026,696.50GB,26/02/2026,943.35GB,ORTIGUEIRA
SAU08,19/02/2026,1020.85GB,26/02/2026,1.27TB,ORTIGUEIRA
SAU09,19/02/2026,526.65GB,26/02/2026,682.66GB,IMBAU
SAU10,19/02/2026,349.71GB,26/02/2026,497.10GB,TIBAGI
SAU11,19/02/2026,937.15GB,26/02/2026,1.15TB,PONTA GROSSA
SAU12,19/02/2026,952.15GB,26/02/2026,1.25TB,WITMARSUM
SAU13,19/02/2026,360.23GB,26/02/2026,489.12GB,APUCARANA
