NOMES,DATA_INICIAL,CONSUMO_INICIAL,DATA_FINAL,CONSUMO_FINAL,PLACA
CAR1,12/02/2026,0,19/02/2026,0,DYE7J92
CAR2,12/02/2026,5.95GB,19/02/2026,6.63GB,TJ09C44
CAR3,12/02/2026,19.24GB,19/02/2026,39GB,TJK7J34
CAR4,12/02/2026,36.11GB,19/02/2026,49.72GB,TJP0F01
CAR5,12/02/2026,0,19/02/2026,0,TJU0A85
CAR6,12/02/2026,18.71GB,19/02/2026,36.88GB,TJZ7I33
CAR7,12/02/2026,6.55GB,19/02/2026,17.24GB,TKD3F54
CAR8,12/02/2026,72.94GB,19/02/2026,98.94GB,TKG2H65
CAR9,12/02/2026,43.03GB,19/02/2026,83.02GB,TKU2I63
CAR10,12/02/2026,34.51GB,19/02/2026,51.77GB,TKV8A66
CAR11,12/02/2026,19.61GB,19/02/2026,55.39GB,TLB3H56
CAR12,12/02/2026,3.33GB,19/02/2026,3.33GB,TLC3D32
CAR13,12/02/2026,17.99GB,19/02/2026,30.70GB,TLE6E62
CAR14,12/02/2026,36.21GB,19/02/2026,53.72GB,TLF0J88
CAR15,12/02/2026,63.04GB,19/02/2026,81.67GB,TLR6G33
CAR16,12/02/2026,0,19/02/2026,0,TLW6H01
CAR17,12/02/2026,39.10GB,19/02/2026,39.10GB,TLY7H32
CAR18,12/02/2026,58.48GB,19/02/2026,94.73GB,TMB5J77
CAR19,12/02/2026,6.41GB,19/02/2026,18.64GB,TMC8H57
CAR20,12/02/2026,56.98GB,19/02/2026,77.65GB,TMC8J94
CAR21,12/02/2026,51.46GB,19/02/2026,76.25GB,TMF2D44
